job_title,description
Data Scientist,"We are looking for Freelance Data Scientists to join several of our client projects at Worksuite.



At Worksuite, the Work Platform for AI, we strongly believe in a more flexible and free way of working and have a great passion for Data Science and AI. To extend our projectteams, we are looking for a freelance Data Scientists who enable further innovation at our clients.

Eernings:

You will decide your own hourly rate, but on average you earn between €65 and €200 per hour

Generally we are looking for the following profiles:


Technically:

strong expertise in programming languages such as Python, R or Scala
experience with several cloud technologies such as Apache, AWS, Hadoop
experience with several techniques such as NLP, Feature Engineering, Neural Networks or Reinforcement Learning
experience with several Libraries such as ggplot, Django, NumPy or PyTorch

Business acumen:

strong sense for businesses and stakeholder management
indepth domein knowledge in specific sectors
strong communication and presentation skills

Applications:

Predictive Maintenance
Dynamic Pricing
Chatbots
Churn Prediction
Computer Vision
Emotion Detection
Fraud Detection
and more.."
Data Scientist,"It wasn’t so long ago that booking a trip so see the Eiffel Tower, stroll down New York’s iconic Madison Avenue or feel the sand between our toes on Copacabana Beach was simply a matter of a few taps on our smartphone. In fact, that’s what we do at Booking.com. We make it easier for everyone to experience the world. And while that world might feel a little farther away right now, we’re busy preparing for when the world is ready to travel once more. Across our offices worldwide, we continue to innovate. To solve for some of the most complex challenges in travel and technology, and to plan for the exciting developments that lie ahead. With strategic long-term investments into what we believe the future of travel can be, we are opening up new career opportunities that will have a strong impact on our mission. We are united in the belief that our very human desire to explore the planet’s beauty and discover more about other people and cultures will endure. The world is waiting for us. Together, we will be ready.

Forecasts are the foundation of our 10,000+ headcount Customer Service operation and we are looking for the right person who is ready to take on the responsibility to own and help strengthen this foundation.

As a Data Scientist Product in the Customer Service Forecasting team, you are responsible for the creation, optimization and maintenance of forecasting models and the production and delivery of forecasts, using machine learning, on a weekly basis for our entire Customer Service organization. This spans across 300 time series, for the Partner and Guest side of our business, with a forecast horizon from one week up to five years in the future. You will be focusing on producing forecasts for both volumes as well as average handle time. You are responsible to provide the best possible accuracy of forecasts and develop and apply the most robust forecasting models and processes. Also analyzing and including new channels and forecast drivers to the CS forecasting landscape are challenges you will come across regularly.

B.responsible

Become an absolute expert in Customer Service forecasting.
Identify and research opportunities to optimize our forecasting models, as well as the input and output data.
Explore and combine different forecasting methodologies, both based on historical time series as well as driver based forecasting.
Ensure a robust, stable and reliable data pipeline for input data, which is as close as possible to the source data.
Engage with stakeholders and end-users of our forecasts to ensure that the product is optimally fit for purpose and to stay ahead of future departmental developments.
Work in a multi-disciplined team where you’ll take full ownership of turning discoveries and ideas into machine learning models. You’ll use the model’s output to create and improve products for our customers, preferably in short development cycles
Research & Development on how to improve customers’ experience, by using our vast amount of data
Actively contribute to taking Data Science at Booking.com to the next level
Contribute to the growth of Booking.com through interviewing, on-boarding, or other recruitment efforts

B.skilled

Masters, PhD, or equivalent experience in a quantitative field (Computer Science, Mathematics, Engineering, Artificial Intelligence, etc.)
Excellent English communication skills; the ability to convey your message to team members and other stakeholders
Prior experience with a few of the following models: Logistic Regression, Support Vector Machines, (Deep) Neural Networks, Hidden Markov Models, Conditional Random Fields, Game Theory, Mechanism Design and/or Latent Dirichlet Allocation
Experience with at least one scripting language, e.g. R, Octave, and one programming language, e.g. Python, Perl, C/C++, Java
Exposure to SQL and relational databases
Experience implementing a real-world Recommender or Ranking system
Worked with the Hadoop Ecosystem
Implemented multi-core/distributed software, preferably in a Linux environment

B.offered

We are a performance-based company that offers career advancement and lucrative compensation, including bonuses and stock potential. We also offer what we call the “Booking Deal” with other competitive perks and benefits. The Technology Department has regular hackathons, trainings and attends/speaks at global conferences.

This position is open to worldwide candidates and in the case of relocation, we will assist you with a generous relocation package, ensuring a smooth transition to working and living in Amsterdam.

We have successfully relocated 200+ IT professionals to Amsterdam in the last year!"
Data Scientist,"Are you a Data  Scientist or a Data Engineer who is seeking a more challenging and intersting opportunity? A client of mine is looking for soemone to join the team as they have offices all around Netherlands so please feel free to reach out to me.

Requirements



Profficient knowledge of Python
Able to build and implement Machine Learning algorithms.
You have a master’s degree or PhD in computer science or related field
You are fluent in English


Technical skills

Software development experience in Python, R as well as scripting abilities. Hands-on experience developing Machine Learning algorithms and AI.
Good experience with data piplines and Data Lakes"
Data Scientist,"Talos Digital is looking for a Data Scientist that help us discovering hidden information in vast amounts of data, and assist us making smart decisions to deliver better products. We are looking for someone proactive, with proven ability to drive business results with data -based insights, a Data Scientist comfortable working with a wide range of stakeholders and functional teams.


Responsibilities:

Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting, and other business outcomes.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.

Qualifications

Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, Sagemaker, Lambda, & EMR
Understanding of machine-learning and operations research
Able to understand various data structures and common methods in data transformation
Good English communication skills, both written and spoken."
Data Scientist,"Job Purpose

As a Data Scientist in the Roche Diabetes Care, R&D - Algorithm and Advanced Analytics function, you will work with real world data to generate population and personalized diabetes decision support algorithms; develop actionable insights from medical records (EMRs) and device data and support deployment of these algorithms into cloud-computing platforms.

You will collaborate with peers within the function and across the organization (e.g. Data Management, Medical Affairs, Operations, and the business franchises) to support all phases of the product life cycle from feasibility to post-launch. The data will be varied in type (e.g., sensor measurements, text, images, acoustic, etc.) and supplemented by clinical data. They may come from a variety of sources - real-world data, electronic medical records, clinical trials, etc. The evidence and insights will be used to inform product concepts, design choices, algorithm architecture, failsafes, and deployment of products that support healthcare decisions by patients, physicians, and payers.

You will benefit from a knowledge of diabetes, clinical practice, healthcare environment, as well as strong scientific and technical data science expertise. You will need strong collaboration and communication skills, as well as an entrepreneurial mindset. You will need to be a self-starter who is capable of working with minimal supervision."
Data Scientist,"Job Description Summary

A typical day for the Analytical Data Scientist will include:
If you are a data professional with sharp analytical abilities and a passion for deriving new insights from unimaginable amounts of data, solving unique challenges, leveraging machine learning algorithms, and working in a highly collaborative, values-driven environment – then PayPal’s Global Risk and Data Sciences (GRDS) is looking for you.

Job Description

What does Success Look Like?

Our Analytic Data Scientists Are Results-driven, Creative Problem-solvers Who Collaborate With Each Other To Take On a Wide Variety Of Challenges

GRDS’s analytic data scientists leverage one of the world’s largest data repositories to propel forward our efforts. With our unique methodology, our data scientists don’t just “mine” data, they develop intimate knowledge and insights and couple them with the latest in machine learning technologies to tackle big questions facing our business.

Which customers considered untouchable by traditional lenders deserve credit?
How can we identify networks of fraudulent actors before they make a single transaction?
Which customers may need to send funds securely and inexpensively to loved ones abroad?
How can we stay ahead of professional criminal elements who probe and attempt to exploit our defenses?
Which unknown new customers can we trust based on ties to existing customers?
How can we leverage the latest in natural language processing to ensure that millions of monthly customer contacts are resolved automatically and satisfactorily for the customer?
The answers to these questions can have significant impact on our 200 million customers and contribute significantly to PayPal’s business performance.

About You

We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don't hesitate to apply.
Bachelor’s Degree in Mathematics, Physics, Computer Science, Statistics, Engineering or similar. Average 85 and above from top universities.
1-2 years of data-related work experience, preferably in Machine-Learning, Data Mining or Statistics
Code writing capability in any programming language (Python, R, Java, Scala, etc.)
Hadoop experience (MapReduce, PIG, Hive, Spark) – an advantage
Excellent spoken and written English
Team worker, responsible, delivery-oriented"
Data Scientist,"Cartrack is looking for passionate data science and engineering candidates that can join a growing team that is responsible for the intelligence and efficiency solution provision to over a million subscribers, many of whom are large fleets. We are in the midst of creating revolutionary platforms that will change the way that people interact with their vehicles. 


You will have the opportunity to work with the very brightest global subject matter experts that are transforming the automotive industry across Fleet Management, Asset Management and Insurance Telematics solutions.


Requirements:

Candidates must have relevant experience into any of following projects - 

Routing Optimization
Driver's Behaviour
Computer Vision & Deep Learning
Maintenance
NLP & Chatbots

Possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree, Master's Degree, Doctorate (PhD) in any field.
At least 2 Year(s) of working experience in the related field is required for this position.
Required Skill(s): Data science, Python, R, NoSQL, PostgreSQL, RDBMS, Linux/Unix/Shell scripting, Cloud Computing etc
Preferably Non-Executive specialized in IT/Computer - Software or equivalent.
Location: Paya Lebar"
Data Scientist,"EY delivers unparalleled service in data science and business analytics built on a blend of custom-developed methods related to customer analytics and optimization.

We leverage best practices and a high degree of business acumen that has been compiled over years of experience to ensure the highest level of execution and satisfaction for our clients.

At EY, our methods are not tied to any specific platforms but rather arrived at by analyzing business needs and making sure that the solutions delivered meet all client goals.

 

The opportunity

You will help our clients navigate the complex world of modern data science and analytics, applied to digital agriculture. We’ll look to you to provide our clients with a unique business perspective on how data science and analytics can transform and improve their entire organization – starting with key business issues they face. This is a high growth, high visibility area with plenty of opportunities to enhance your skillset and build your career.


Your key responsibilities

You’ll spend most of your time working with a wide variety of clients to deliver the latest data science and big data technologies and practices to design, build and maintain scalable and robust solutions that unify, enrich and analyse data from multiple sources.  


Skills and attributes for success

• Applying data techniques, hypothesis testing, segmentation and modelling to analyze large amounts of data;
• Helping our clients make data-driven decisions by working with structured and unstructured data sets, building out predictive models and advising our clients on data mining leading practices;

• Building and applying data analysis algorithms (data mining, profiling, machine learning, natural language processing, sentiment analysis, NLP, etc.) as appropriate;

• Analysing, Unifying and enriching customer data to derive new insights and opportunities;
• Leveraging in-house data platforms as needed and recommending and building new data platforms/solutions as required to exceed business requirements;
• Clearly communicating findings, recommendations and opportunities to improve data systems and solutions;
• Seeking out information to learn about emerging methodologies and technologies;
• Clarifying problems by driving to understand the true issue;
• Looking for opportunities for improving methods and outcomes.
 
To qualify for the role you must have
• A bachelor's degree in Information Technology Systems, Engineer or other related;
• Approximately 2 years of relevant work experience in Data Science and Machine Learning;
• Understanding of statistical modeling as well as SQL, ETL, data engineering skills;
• Thorough business understanding of data science application and ability to communicate with key decision-makers;
• Fluent written and verbal communication skills both in Portuguese and English;
• Facility to adapt and understand business processes and to design data business cases.

Ideally, you’ll also have

• Master’s Degree in Business Analytics;
• Good knowledge in data science methodologies: Machine Learning applied to ensemble classification models; Optimization models; Neural networks;
• Ability to work with Python;
• Other technical Libraries: Scikit-learn, Pandas, Numpy, Keras, Tensor Flow, Jupyter Notebook.


What we look for
We’re interested in passionate professionals with strong vision and a desire to stay on top of trends in the Data Science and Big Data industry. If you have a genuine passion for helping businesses achieve the full potential of their data, this role is for you.

What working at EY offers
We offer a competitive remuneration package and includes support for flexible working and career development. Plus, we offer: support, coaching and feedback from some of the most engaging colleagues around the world and opportunities to develop new skills and

progress your career."
Data Scientist,"GROW WITH US by becoming a core member of our Analytics and e-Commerce team, working across our operations in Asia Pacific, Middle East & Africa (AMEA).

Kellogg AMEA operates through wholly-owned subsidiaries, joint ventures and contract manufacturers. Product categories include but are not limited to: Breakfast Foods, Wholesome Snacks, Salty Snacks and Noodles.

This exciting new role, based in our Regional Head Office in Singapore within the Regional Commercial Team has been created to increase our capabilities in data mining and analytics, to identify opportunities to grow our business across the region. Our region is delivering strong results, but we know there is more opportunity out there that we can harness, this position plays a key role in working with our business to turn these opportunities into further sustainable business wins!

Key responsibilities will include:-
You will work directly with the e-commerce team to capture and aggregate local e-Commerce sales performance data in real time, to enable faster decision making
Support our annual planning process and development with local market e-Commerce teams.
Analysis of internal and external e-Commerce metrics and data streams to develop opportunity analysis and insights into the nuances of e-Commerce across the region
Drive predictive and prescriptive modelling by leveraging business performance data from region and local markets, using scan and panel data, market mix modelling, digital & e-Commerce data
Mine and analyse data from various databases to drive optimisation and improvement of product development, marketing techniques and business strategies
Build predictive modelling to build in-house capabilities in market mix modelling, e-Commerce performance and other analytics
We're looking for someone with the following, skills, expertise and experience:-
Have a Degree/Masters from a top-tier institute, ideally in Computer Science, Data Science, Mathematics or similar field.
3 to 5 years working experience devising, delivering and owning successful data science products.
Strong expertise in Machine Learning and Predictive Modelling (Regression, decision trees, SVM, KNN etc), Maths and analytics
Possess a strong knowledge of R, Python and SQL and experience in building and scaling models for time series.
Should be comfortable working in big data stack (Hive, HDFS, Spark)
Strong problem solving, quantitative and analytical abilities.
The ability to utilise data to influence the direction of team roadmaps and inform business decisions
Should have good working experience on Excel.
Have strong interpersonal and communication skills and are adept at working with multiple stakeholders to drive desired outcomes
Benefits, Culture & Company

We’re a company that makes great food and we hire great people! Our K Values (integrity & respect, accountability, passion, simplicity, success and humility and hunger) shape our Kellogg culture and guide the way the business is run.

We offer our employees competitive salaries including performance-related bonuses and incentives, a flexible work environment and range of flexible employee health & wellness benefits. As an individual you can grow and develop your career with the support of your Manager and range of learning and development opportunities. The benefit of a global organization is you can take your career off-shore.

Kellogg Company is an Equal Opportunity Employer who provides an inclusive work environment that involves everyone and embraces the diverse talent of its people."
Data Scientist,"As Data Scientist in the Pricing Analytics team you will shape HP’s future of how we set prices. We are a very dynamic, highly skilled and diverse global team consisting of economists, statisticians, engineers, scientists or even musicians, who are pushing the innovation frontier in pricing. Working with us you will combine your economic thinking, statistical modeling, experimentation and optimization methods to build complex pricing algorithms for most popular Printers and PCs in the market.

About You
You are passionate about unveiling answers to most difficult questions using data and models
You have deep interests in customer and market behaviour and methods to measure and anticipate it
You feel accomplished seeing your pricing recommendations being implemented while shopping for yourself
You can’t stop thinking about learning something new every day and enjoy being surrounded by highly talented people

Key Responsibilities
Develop and apply statistical methods and experimentation to analyze the effect of pricing and sales decisions on business performance
Build algorithms to optimize pricing decisions and implement them in tools
Present the results and recommendations to the relevant stakeholders, including senior leadership
Develop and implement frameworks and processes to make your analyses and algorithms easily replicable, scalable and automated

Must-haves

Requirements:
At least 3 years’ working experience in data science using statistics including graduate or postgraduate research
At least 2 years’ experience building and interpreting complex econometric models or marketing mix models
Proficiency with R and/or Python is required
Master's or PhD degree in Economics, Statistics, Quantitative Marketing, Computer Science, Mathematics, Physics or equivalent

Bonus Points For
Interest in pricing, economics, and/or consumer behavior
Knowledge of price optimization approaches, price discrimination models and a general knowledge of main concepts from the industrial organization literature
Basic understanding of finance and product economics
Experience in data engineering and/or basic software/tool development

At HP Sant Cugat (Barcelona), we have an impressive 2300+ employees with a start-up mentality, made up of 60+ different nationalities, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives."
